Maanshan Nuclear Power Plant,"1,841",Taiwan,21.95806,120.75167
Mihama Nuclear Power Plant,"1,666",Japan,35.7025,135.96333
Millstone Nuclear Power Plant,"2,102",United States,41.31194,-72.16861
Neckarwestheim Nuclear Power Plant,"2,095",Germany,49.04167,9.175
Nine Mile Point Nuclear Generating Station,"1,764",United States,43.52083,-76.40694
Nogent Nuclear Power Plant,"2,620",France,48.51528,3.51778
North Anna Nuclear Generating Station,"1,875",United States,38.06056,-77.78944
Novovoronezhskaya Nuclear Power Plant,"1,720",Russia,51.275,39.2
Oconee Nuclear Generating Station,"2,538",United States,34.79389,-82.89806
Ōi Nuclear Power Plant,"4,710",Japan,35.54056,135.65194
Olkiluoto Nuclear Power Plant,"1,745",Finland,61.23694,21.44083
Onagawa Nuclear Power Plant,"2,174",Japan,38.40111,141.49972
Oskarshamn Nuclear Power Plant,"2,308",Sweden,57.41556,16.67111
Paks Nuclear Power Plant,"1,755",Hungary,46.5725,18.85417
Palo Verde Nuclear Generating Station,"3,942",United States,33.38917,-112.865
Paluel Nuclear Power Plant,"5,320",France,49.85806,0.63556
Penly Nuclear Power Plant,"2,660",France,49.97667,1.21194
Peach Bottom Nuclear Generating Station,"2,234",United States,39.75833,-76.26806
Perry Nuclear Generating Station,"1,240",United States,41.80083,-81.14333
Philippsburg Nuclear Power Plant,"2,292",Germany,49.2525,8.43639
Pickering Nuclear Generating Station,"4,124",Canada,43.81167,-79.06583
Point Beach Nuclear Plant,"1,027",United States,44.28111,-87.53667
Prairie Island Nuclear Power Plant,"1,114",United States,44.62167,-92.63306
Qinshan Nuclear Power Plant,"3,428",China,30.43556,120.95639
Quad Cities Nuclear Generating Station,"1,774",United States,41.72639,-90.31
Rajasthan Atomic Power Station,"1,085",India,24.87222,75.61389
Ringhals Nuclear Power Plant,"3,662",Sweden,57.25972,12.11083
Rivne Nuclear Power Plant,"2,645",Ukraine,51.32778,25.89167
Rostov Nuclear Power Plant,"1,900",Russia,47.59944,42.37194
Rivne Nuclear Power Plant,"2,657",Ukraine,51.32778,25.89167
Saint-Alban Nuclear Power Plant,"2,670",France,45.40444,4.75444
Saint-Laurent Nuclear Power Plant,"1,830",France,47.72,1.5775
Saint Lucie Nuclear Power Station,"1,678",United States,27.34861,-80.24639
Salem Nuclear Power Plant,"2,332",United States,39.46278,-75.53556
San Onofre Nuclear Generating Station,"2,150",United States,33.36889,-117.555
Seabrook Station Nuclear Power Plant,"1,247",United States,42.89889,-70.85083
Sendai Nuclear Power Plant,"1,780",Japan,31.83361,130.18972
Sequoyah Nuclear Generating Station,"2,278",United States,35.22639,-85.09167
Shika Nuclear Power Plant,"1,898",Japan,37.06111,136.72639
Shimane Nuclear Power Plant,"2,653",Japan,35.53833,132.99917
Sizewell-B Nuclear Power Station,"1,188",United Kingdom,52.21333,1.61861
Smolensk Nuclear Power Plant,"2,775",Russia,54.16917,33.24667
South Texas Nuclear Generating Station,"2,560",United States,28.79556,-96.04889
South Ukraine Nuclear Power Plant,"2,850",Ukraine,47.8166667,31.2166667
Surry Nuclear Power Plant,"1,638",United States,37.16556,-76.69778
Susquehanna Steam Electric Station,"2,429",United States,41.08889,-76.14889
Takahama Nuclear Power Plant,"3,304",Japan,35.52222,135.50472
Tarapur Atomic Power Station,"1,400",India,19.82778,72.66111
Temelin Nuclear Power Station,"1,926",Czech Republic,49.18,14.37611
Tianwan Nuclear Power Plant,"1,866",China,34.68694,119.45972
Tihange Nuclear Power Station,"3,016",Belgium,50.53472,5.2725
Tokai Nuclear Power Plant,"1,266",Japan,36.46639,140.60667
Tomari Nuclear Power Plant,"2,062",Japan,43.03611,140.5125
Torness Nuclear Power Station,"1,205",United Kingdom,55.96806,-2.40917
Tricastin Nuclear Power Center,"3,660",France,44.32972,4.73222
Trillo Nuclear Power Plant,"1,003",Spain,40.70111,-2.62194
Tsuruga Nuclear Power Plant,"1,517",Japan,35.67278,136.07722
Turkey Point Nuclear Generating Station,"1,386",United States,25.43417,-80.33056
Ulchin Nuclear Power Plant,"5,881",South Korea,37.09278,129.38361
Unterweser Nuclear Power Plant,"1,345",Germany,53.42778,8.48028
Yeonggwang Nuclear Power Station,"5,875",South Korea,35.415,126.42389
Vandellòs Nuclear Power Station,"1,045",Spain,40.95139,0.8666667
Vogtle Electric Generating Plant,"2,302",United States,33.14306,-81.76583
Waterford Nuclear Generating Station,"1,168",United States,29.995,-90.47139
Watts Bar Nuclear Generating Station,"1,123",United States,29.995,-90.47139
Wolf Creek Generating Station,"1,160",United States,38.23889,-95.68889
Wolseong Nuclear Power Plant,"2,579",South Korea,35.71111,129.475
Zaporizhzhia Nuclear Power Plant,"5,700",Ukraine,47.51222,34.58583
